"","Name","Locale","Remarks","Date","Country","Year"
"413","William J. Clinton","Jerusalem","Attended the funeral of Prime Minister Rabin.","November 5–6, 1995","Israel","1995"
"414","William J. Clinton","Jerusalem, Tel Aviv","Discussed cooperation against terrorism with senior Israeli officials.","March 13–14, 1996","Israel","1996"
"415","William J. Clinton","Jerusalem, Masada","Met with Prime Minister Netanyahu and senior Israeli officials.","December 12–15, 1998","Israel","1998"
"416","George W. Bush","Tel Aviv, Jerusalem","Met with Prime Minister Olmert and President Peres. Visited Yad Vashem.","January 9–11, 2008","Israel","2008"
"417","George W. Bush","Tel Aviv, Jerusalem, Masada","Met with President Peres and Prime Minister Olmert. Addressed the Knesset. Commemorated Israel’s 60th anniversary.","May 14–16, 2008","Israel","2008"
"418","Barack Obama","Tel Aviv, Jerusalem","Met with President Shimon Peres and Prime Minister Benjamin Netanyahu.","March 20–22, 2013","Israel","2013"
"419","Barack Obama","Jerusalem","Attended the state funeral of former President Shimon Peres.","September 30, 2016","Israel","2016"
"420","Donald J. Trump","Jerusalem","Met with President Reuven Rivlin and Prime Minister Benjamin Netanyahu. Visited the Western Wall and Yad Vashem.","May 22–23, 2017","Israel","2017"
"421","Woodrow Wilson","Rome, Genoa, Milan, Turin","Met with King Victor Emnanuel III and Prime Minister Orlando.","January 1–6, 1919","Italy","1919"
"422","Franklin Delano Roosevelt","Castel Ventrano (Sicily)","Visited Allied military installations.","December 8, 1943","Italy","1943"
"423","Dwight D. Eisenhower","Rome","Informal visit; met with President Gronchi.","December 4–6, 1959","Italy","1959"
"424","John F. Kennedy","Rome, Naples","Met with President Segni, Italian and NATO officials.","July 1–2, 1963","Italy","1963"
"425","Lyndon B. Johnson","Rome","Met with President Saragat and Prime Minister Moro.","December 23, 1967","Italy","1967"
"426","Richard M. Nixon","Rome","Met with President Saragat, Prime Minister Rumor, and other officials.","February 27–28, 1969","Italy","1969"
"427","Richard M. Nixon","Rome, Naples","Official visit; met with President Saragat; visited NATO Southern Command.","September 27–30, 1970","Italy","1970"
"428","Gerald R. Ford","Rome","Met with President Leone and Prime Minister Moro.","June 3, 1975","Italy","1975"
"429","James E. Carter","Rome, Venice","State visit; met with President Pertini. Attended Economic Summit Conference June 21-24 of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 19–24, 1980","Italy","1980"
"430","Ronald Reagan","Rome","State visit; met with President Pertini and Premier Spadolini.","June 7, 1982","Italy","1982"
"431","Ronald Reagan","Venice, Rome","Attended Economic Summit Meeting (June 8-10) of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom. Met with President Cossiga and Prime Minister Fanfani in Rome on June 6.","June 3–11, 1987","Italy","1987"
"432","George Herbert Walker Bush","Rome, Nettuno","Met with President Cossiga and Prime Minister De Mita.","May 26–28, 1989","Italy","1989"
"433","George Herbert Walker Bush","Rome","Attended NATO Summit Meeting.","November 6–8, 1991","Italy","1991"
"434","William J. Clinton","Rome, Nettuno","Met with Prime Minister Berlusconi and President Scalfaro. Visited U.S. Military Cemetery.","June 2–4, 1994","Italy","1994"
"435","William J. Clinton","Naples","Met with the Prime Ministers of Italy, Japan, and Canada. Attended G-7 Economic Summit Meeting and met with President Yeltsin.","July 7–10, 1994","Italy","1994"
"436","William J. Clinton","Aviano","Met with U.S. military personnel.","January 13, 1996","Italy","1996"
"437","William J. Clinton","Aviano","Stopped en route to and from Bosnia-Herzegovina.","December 22, 1997","Italy","1997"
"438","William J. Clinton","Aviano","Addressed U.S. military personnel.","June 22, 1999","Italy","1999"
"439","William J. Clinton","Aviano","Stopped en route to Sarajevo.","July 29–30, 1999","Italy","1999"
"440","William J. Clinton","Florence","Attended conference on Progressive Governance for the 21st Century.","November 20–21, 1999","Italy","1999"
"441","William J. Clinton","Aviano Air Base","Stopped en route to India.","March 18, 2000","Italy","2000"
"442","George W. Bush","Genoa, Castel Gandolfo, Rome","Attended the G-8 Economic Summit. Met with Pope John Paul II at Castel Gandolfo and with Prime Minister Berlusconi and President Ciampi in Rome.","July 20–24, 2001","Italy","2001"
"443","George W. Bush","Rome","Met with President Ciampi and Prime Minister Berlusconi. Attended NATO Summit Meeting and inaugurated the NATO-Russia Council.","May 27–28, 2002","Italy","2002"
"444","George W. Bush","Rome","Met with President Ciampi and Prime Minister Berlusconi.","June 4–5, 2004","Italy","2004"
"445","George W. Bush","Rome","Met with President Ciampi and Prime Minister Berlusconi.","April 6–8, 2005","Italy","2005"
"446","George W. Bush","Rome","Met with Prime Minister Prodi and President Napolitano.","June 8–10, 2007","Italy","2007"
"447","George W. Bush","Rome","Met with President Napolitano and Prime Minister Berlusconi.","June 11–13, 2008","Italy","2008"
"448","Barack Obama","Rome, L’Aquila","Attended the G-8 Summit Meeting. Also met with the leaders of Angola, Algeria, Australia, Brazil, China, Egypt, India, Mexico, Nigeria, Senegal, South Africa, and various international organizations.","July 8–10, 2009","Italy","2009"
"449","Barack Obama","Rome","Met with President Giorgio Napolitano and Prime Minister Matteo Renzi. Toured the Colosseum.","March 26–28, 2014","Italy","2014"
"450","Donald J. Trump","Rome","Met with Prime Minister Paolo Gentiloni.","May 23–24, 2017","Italy","2017"
"451","Donald J. Trump","Taormina, Sigonella","Attended the G–7 Summit Meeting. Stopped at NAS Sigonella while returning to the United States.","May 25–27, 2017","Italy","2017"
"452","Ronald Reagan","Kingston","Official visit; met with Prime Minister Seaga.","April 7–8, 1982","Jamaica","1982"
"453","Barack Obama","Kingston","Attended a CARICOM meeting.","April 8–9, 2015","Jamaica","2015"
"454","Gerald R. Ford","Tokyo, Kyoto","State visit; met with Prime Minister Tanaka.","November 18–22, 1974","Japan","1974"
"455","James E. Carter","Tokyo, Shimoda","State visit; met with Emperor Hirohito and Prime Minister Ohira. Attended Economic Summit Meeting June 28-29 of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 24–29, 1979","Japan","1979"
"456","James E. Carter","Tokyo","Official visit; attended memorial services for former Prime Minister Ohira; met with Emperor Hirohito, President Ziaur Rahman of Bangladesh, Prime Minister Fraser of Australia, Prime Minister Prem of Thailand, and Premier Hua Guofeng of China.","July 9–10, 1980","Japan","1980"
"457","Ronald Reagan","Tokyo","State visit; met with Emperor Hirhito and Prime Minister Nakasone, and addressed the Diet.","November 9–12, 1983","Japan","1983"
"458","Ronald Reagan","Tokyo","Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","May 2–7, 1986","Japan","1986"
"459","George Herbert Walker Bush","Tokyo","Attended the funeral of Emperor Hirohito. Met with Emperor Akihito of Japan; the Kings of Belgium, Jordan, and Spain; the Presidents of Brazil, Egypt, France, the Federal Republic of Germany, Israel, Italy, Nigeria, the Philippines, Portugal, and Zaire; and the Prime Ministers of Japan, Pakistan, Singapore, Thailand, and Turkey.","February 23–25, 1989","Japan","1989"
"460","George Herbert Walker Bush","Kyoto, Kashihara, Tokyo","Met with Emperor Akihito, Prime Minister Miyazawa, and senior Japanese officials.","January 7–10, 1992","Japan","1992"
"461","William J. Clinton","Tokyo","Attended Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","July 6–10, 1993","Japan","1993"
"462","William J. Clinton","Tokyo","State visit. Issued joint statement on U.S.-Japanese security relations. Addressed the Diet and U.S. Navy personnel.","April 16–18, 1996","Japan","1996"
"463","William J. Clinton","Tokyo","Met with Emperor Akihito and Prime Minister Obuchi; addressed American Chamber of Commerce.","November 19–20, 1998","Japan","1998"
"464","William J. Clinton","Tokyo","Attended the funeral of former Prime Minister Obuchi.","June 8, 2000","Japan","2000"
"465","William J. Clinton","Nago (Okinawa)","Attended the G-8 Economic Summit.","July 21–23, 2000","Japan","2000"
"466","George W. Bush","Tokyo","Met with Prime Minister Koizumi and Emperor Akihito. Addressed the Diet.","February 17–19, 2002","Japan","2002"
"467","George W. Bush","Tokyo","Met with Prime Minister Koizumi.","October 17–18, 2003","Japan","2003"
"468","George W. Bush","Kyoto","Met with Prime Minister Koizumi.","November 15–16, 2005","Japan","2005"
"469","George W. Bush","Toyako","Attended the G-8 Economic Summit. Also met with Tanzanian President Kikwete, Indian Prime Minister Singh, Chinese President Hu, and South Korean President Lee.","July 6–9, 2008","Japan","2008"
"470","Barack Obama","Tokyo","Met with Emperor Akihito and Prime Minister Hatoyama.","November 13–14, 2009","Japan","2009"
"471","Barack Obama","Yokohama, Kamakura","Attended the Asia-Pacific Economic Cooperation’s CEO Summit Meetings.","November 12–14, 2010","Japan","2010"
"472","Barack Obama","Tokyo","Met with Prime Minister Shinzo Abe and Emperor Akihito. Toured the National Museum of Emerging Science and Innovation. Toured the Meiji Jingu Shrine.","April 22–25, 2014","Japan","2014"
"473","Barack Obama","Yokota Air Force Base","Stopped en route to Vietnam.","May 22, 2016","Japan","2016"
"474","Barack Obama","Shima City, Ise, Iwakuni, Hiroshima","Attended the G-7 Economic Summit. Attended ceremonies at the Hiroshima Peace Memorial Park. .","May 25–29, 2016","Japan","2016"
"475","Barack Obama","Yokota Air Force Base","Stopped while returning to the United States.","September 9, 2016","Japan","2016"
"476","Donald J. Trump","Kawagoe, Tokyo","Met with Prime Minister Shinzō Abe and Emperor Akihito.","November 5–7, 2017","Japan","2017"
"477","Donald J. Trump","Tokyo","State Visit following the enthronement of Emperor Naruhito.","May 25–28, 2019","Japan","2019"
"478","Donald J. Trump","Osaka","Participated in the G–20 Leaders’ Summit.","June 28–30, 2019","Japan","2019"
"479","Richard M. Nixon","Amman","State visit; met with King Hussein.","June 17–18, 1974","Jordan","1974"
"480","William J. Clinton","Aqaba, Wadi Arava, Amman","Attended signing of the Israel-Jordan peace agreement and addressed the Jordanian Parliament.","October 26–27, 1994","Jordan","1994"
"481","William J. Clinton","Amman","Attended the funeral of King Hussein.","February 8, 1999","Jordan","1999"
"482","George W. Bush","Aqaba","Attended meetings with Israeli Prime Minister Sharon and Palestinian Prime Minister Abbas. Met with King Abdullah II.","June 4, 2003","Jordan","2003"
"483","George W. Bush","Amman","Met with King Abdullah II and Iraqi Prime Minister al-Maliki.","November 29–30, 2006","Jordan","2006"
"484","Barack Obama","Amman, Petra","Met with King Abdullah II.","March 22–24, 2013","Jordan","2013"
"485","Barack Obama","Nairobi","Attended Global Entrepreneurship Summit and met with President Uhuru Kenyatta. Attended a State dinner.","July 24–26, 2015","Kenya","2015"
"486","Dwight D. Eisenhower","Seoul","Visit to Korean combat zone. [Visit made as President-elect.]","December 2–5, 1952","South Korea","1952"
"487","Dwight D. Eisenhower","Seoul","Met with Prime Minister Chung and addressed the National Assembly.","June 19–20, 1960","South Korea","1960"
"488","Lyndon B. Johnson","Seoul, Suwon","State visit; met with President Park and Prime Minister Chung.","October 31–November 2, 1966","South Korea","1966"
"489","Gerald R. Ford","Seoul","Met with President Park.","November 22–23, 1974","South Korea","1974"
"490","James E. Carter","Seoul","State visit; met with President Park and Prime Minister Choi.","June 29–July 1, 1979","South Korea","1979"
"491","Ronald Reagan","Seoul, Demilitarized Zone","State visit; met with President Chun, addressed the National Assembly, and visited U.S. troops.","November 12–14, 1983","South Korea","1983"
"492","George Herbert Walker Bush","Seoul","Official visit; addressed the National Assembly.","February 27, 1989","South Korea","1989"
"493","George Herbert Walker Bush","Seoul","Met with President Roh and senior Korean officials, signed a science and technology agreement, addressed the Korean National Assembly, and visited U.S. military personnel.","January 5–7, 1992","South Korea","1992"
"494","William J. Clinton","Seoul","Met with President Kim, addressed the Korean National Assembly, and visited U.S. military personnel.","July 10–11, 1993","South Korea","1993"
"495","William J. Clinton","Cheju Island","Met with President Kim and proposed four-nation peace talks.","April 15–16, 1996","South Korea","1996"
"496","William J. Clinton","Seoul, Osan","Met with President Kim Dae Jung; addressed U.S. military personnel.","November 20–22, 1998","South Korea","1998"
"497","George W. Bush","Seoul, Dorasan, Osan","Met with President Kin Dae-Jung, visited the Demilitarized Zone, addressed U.S. military personnel.","February 19–21, 2002","South Korea","2002"
"498","George W. Bush","Pusan, Gyeongju, Osan","Attended APEC Summit meeting and met with Russian President Putin.","November 16–20, 2005","South Korea","2005"
"499","George W. Bush","Seoul, Yongsan","Met with President Lee and addressed U.S. military personnel.","August 5–6, 2008","South Korea","2008"
"500","Barack Obama","Osan, Seoul","Met with President Lee.","November 18–19, 2009","South Korea","2009"
"501","Barack Obama","Seoul","Met with President Lee; attended the G-20 Summit Meeting.","November 10–12, 2010","South Korea","2010"
"502","Barack Obama","Seoul","Attended the Nuclear Security Summit. Met with President Lee Myung-bak and visited the Demilitarized Zone.","March 25–27, 2012","South Korea","2012"
"503","Barack Obama","Seoul","Met with President Park Geun-hye, attended a wreath-laying ceremony at the National War Memorial, and visited U.S. military personnel.","April 25–26, 2014","South Korea","2014"
"504","Donald J. Trump","Osan, Seoul","Met with President Moon Jae-in. Visited U.S. Military personnel at Garrisons Humphreys and Yongsan.","November 7–8, 2017","South Korea","2017"
"505","Donald J. Trump","Seoul","Met with President Moon Jae-in, and crossed briefly into North Korean territory where he was photographed with and spoke to Chairman Kim Jong-un.","June 30, 2019","South Korea","2019"
"506","Dwight D. Eisenhower","Seoul","Visit to Korean combat zone. [Visit made as President-elect.]","December 2–5, 1952","South Korea","1952"
"507","Dwight D. Eisenhower","Seoul","Met with Prime Minister Chung and addressed the National Assembly.","June 19–20, 1960","South Korea","1960"
"508","Lyndon B. Johnson","Seoul, Suwon","State visit; met with President Park and Prime Minister Chung.","October 31–November 2, 1966","South Korea","1966"
"509","Gerald R. Ford","Seoul","Met with President Park.","November 22–23, 1974","South Korea","1974"
"510","James E. Carter","Seoul","State visit; met with President Park and Prime Minister Choi.","June 29–July 1, 1979","South Korea","1979"
"511","Ronald Reagan","Seoul, Demilitarized Zone","State visit; met with President Chun, addressed the National Assembly, and visited U.S. troops.","November 12–14, 1983","South Korea","1983"
"512","George Herbert Walker Bush","Seoul","Official visit; addressed the National Assembly.","February 27, 1989","South Korea","1989"
"513","George Herbert Walker Bush","Seoul","Met with President Roh and senior Korean officials, signed a science and technology agreement, addressed the Korean National Assembly, and visited U.S. military personnel.","January 5–7, 1992","South Korea","1992"
"514","William J. Clinton","Seoul","Met with President Kim, addressed the Korean National Assembly, and visited U.S. military personnel.","July 10–11, 1993","South Korea","1993"
"515","William J. Clinton","Cheju Island","Met with President Kim and proposed four-nation peace talks.","April 15–16, 1996","South Korea","1996"
"516","William J. Clinton","Seoul, Osan","Met with President Kim Dae Jung; addressed U.S. military personnel.","November 20–22, 1998","South Korea","1998"
"517","George W. Bush","Seoul, Dorasan, Osan","Met with President Kin Dae-Jung, visited the Demilitarized Zone, addressed U.S. military personnel.","February 19–21, 2002","South Korea","2002"
"518","George W. Bush","Pusan, Gyeongju, Osan","Attended APEC Summit meeting and met with Russian President Putin.","November 16–20, 2005","South Korea","2005"
"519","George W. Bush","Seoul, Yongsan","Met with President Lee and addressed U.S. military personnel.","August 5–6, 2008","South Korea","2008"
"520","Barack Obama","Osan, Seoul","Met with President Lee.","November 18–19, 2009","South Korea","2009"
"521","Barack Obama","Seoul","Met with President Lee; attended the G-20 Summit Meeting.","November 10–12, 2010","South Korea","2010"
"522","Barack Obama","Seoul","Attended the Nuclear Security Summit. Met with President Lee Myung-bak and visited the Demilitarized Zone.","March 25–27, 2012","South Korea","2012"
"523","Barack Obama","Seoul","Met with President Park Geun-hye, attended a wreath-laying ceremony at the National War Memorial, and visited U.S. military personnel.","April 25–26, 2014","South Korea","2014"
"524","Donald J. Trump","Osan, Seoul","Met with President Moon Jae-in. Visited U.S. Military personnel at Garrisons Humphreys and Yongsan.","November 7–8, 2017","South Korea","2017"
"525","Donald J. Trump","Seoul","Met with President Moon Jae-in, and crossed briefly into North Korean territory where he was photographed with and spoke to Chairman Kim Jong-un.","June 30, 2019","South Korea","2019"
"526","William J. Clinton","Kuwait City","Met with the Amir of Kuwait and addressed U.S. military personnel.","October 28, 1994","Kuwait","1994"
"527","George W. Bush","Kuwait City, Camp Arifjan","Attended Roundtable on Democracy and Development. Met with Gen. Petraeus and Ambassador Crocker at Camp Arifjan and addressed U.S. military personnel.","January 11–12, 2008","Kuwait","2008"
"528","Barack Obama","Vientiane, Luang Prabang","Met with President Bounnyang Vorachit and attended an East Asia Summit Meeting.","September 5–9, 2016","Laos","2016"
"529","William J. Clinton","Riga","Met with the Presidents of the Baltic States.","July 6, 1994","Latvia","1994"
"530","George W. Bush","Riga","Met with the presidents of the Baltic States.","May 6–7, 2005","Latvia","2005"
"531","George W. Bush","Riga","Attended NATO Summit Meeting.","November 28–29, 2006","Latvia","2006"
"532","Franklin Delano Roosevelt","Monrovia","Informal visit; met with President Barclay.","January 26–27, 1943","Liberia","1943"
"533","James E. Carter","Monrovia","Met with President Tolbert.","April 3, 1978","Liberia","1978"
"534","George W. Bush","Liberia","Met with President Johnson Sirleaf.","February 21, 2008","Liberia","2008"
"535","George W. Bush","Vilnius","Met with the Presidents of the Baltic States.","November 22–23, 2002","Lithuania","2002"
"536","William J. Clinton","Skopje","Met with President Gligorov; addressed Kosovar refugees and NATO military personnel.","June 22, 1999","Macedonia","1999"
"537","Lyndon B. Johnson","Kuala Lumpur","State visit; met with Prime Minister Rahrman.","October 30–31, 1966","Malaysia","1966"
"538","Barack Obama","Kuala Lumpur","Met with Prime Minister Najib Razak, toured the National Mosque and the Malaysian Global Innovation and Creativity Center.","April 26–28, 2014","Malaysia","2014"
"539","Barack Obama","Kuala Lumpur","Attended ASEAN Summit Meeting.","November 20–22, 2015","Malaysia","2015"
"540","George Herbert Walker Bush","Valletta, Marsaxlokk Bay","Attended Summit Meeting (December 2-3) with Soviet Chairman Gorbachev. Met also with Maltese Prime Minister Fenech Adami.","December 1–3, 1989","Malta","1989"
"541","William Howard Taft","Ciudad Juarez","Part of an exchange of visits with President Diaz across the border.","October 16, 1909","Mexico","1909"
"542","Franklin Delano Roosevelt","Monterrey","Part of an exchange of visits with President Avila across the border.","April 20, 1943","Mexico","1943"
"543","Harry S Truman","Mexico, D.F.","State visit; met with President Alerman.","March 3–6, 1947","Mexico","1947"
"544","Dwight D. Eisenhower","Nuevo Guerrero","Dedicated Falcon Dam.","October 19, 1953","Mexico","1953"
"545","Dwight D. Eisenhower","Acapulco","Informal meeting with President Lopez Mateos.","February 19–20, 1959","Mexico","1959"
"546","Dwight D. Eisenhower","Ciudad Acuna","Informal visit; met with President Lopez Mateos.","October 24, 1960","Mexico","1960"
"547","John F. Kennedy","Mexico, D.F.","State visit; met with President Lopez Mateos.","June 29–July 1, 1962","Mexico","1962"
"548","Lyndon B. Johnson","Mexico, D.F.","Informal visit; met with President Gustavo Diaz Ordaz.","April 14–15, 1966","Mexico","1966"
"549","Lyndon B. Johnson","Ciudad Acuna","Informal meeting with President Diaz Ordaz. Inspected construction of Arnistad Dam.","December 3, 1966","Mexico","1966"
"550","Lyndon B. Johnson","Ciudad Juarez","Attended transfer of El Chamizal from the US. to Mexico and conferred with President Diaz Ordaz.","October 28, 1967","Mexico","1967"
"551","Richard M. Nixon","Ciudad Acuna","Dedicated Aimistad Dam.","September 8, 1969","Mexico","1969"
"552","Richard M. Nixon","Puerto Vallarta","Official visit; met with President Diaz Ordaz.","August 20–21, 1970","Mexico","1970"
"553","Gerald R. Ford","Nogales, Magdalena de Kino","Met with President Echeverria and laid a wreath at the tomb of Padre Eusebio Kino.","October 21, 1974","Mexico","1974"
"554","James E. Carter","Mexico, D.F.","State visit; met with President Lopez Portillo and addressed the Mexican Congress.","February 14–16, 1979","Mexico","1979"
"555","Ronald Reagan","Ciudad Juarez","Met with President Lopez Portillo. [Visit made as President-elect.]","January 5, 1981","Mexico","1981"
"556","Ronald Reagan","Cancun","Attended Summit Meeting on International Cooperation and Development. Met with the Heads of State and Government of Algeria, Bangladesh, Canada, China, France, Guyana, India, Japan, Mexico, Nigeria, the Philippines, Saudi Arabia, Sweden, Tanzania, the United Kingdom, Venezuela, and Yugoslavia.","October 21–24, 1981","Mexico","1981"
"557","Ronald Reagan","Tijuana","Exchange of visits with President-elect de la Madrid.","October 8, 1982","Mexico","1982"
"558","Ronald Reagan","La Paz (Baja California)","Informal meeting with President de la Madrid.","August 14, 1983","Mexico","1983"
"559","Ronald Reagan","Mexicali","Informal meeting with President de La Madrid.","January 3, 1986","Mexico","1986"
"560","Ronald Reagan","Mazatlan","Informal meeting with President de la Madrid. Signed textile agreement.","February 13, 1988","Mexico","1988"
"561","George Herbert Walker Bush","Monterrey, Agualeguas","State Visit.","November 26–27, 1990","Mexico","1990"
"562","William J. Clinton","Mexico, D.F., Tlaxcala","State Visit.","May 5–7, 1997","Mexico","1997"
"563","William J. Clinton","Merida","State visit.","February 14–15, 1999","Mexico","1999"
"564","George W. Bush","San Cristobal","Meeting with President Fox.","February 16, 2001","Mexico","2001"
"565","George W. Bush","Monterrey","Attended the International Conference on Financing for Development and met with President Fox.","March 21–22, 2002","Mexico","2002"
"566","George W. Bush","Los Cabos","Attended APEC Summit Meeting.","October 26–27, 2002","Mexico","2002"
"567","George W. Bush","Monterrey","Attended the Special Summit of the Americas.","January 12–13, 2004","Mexico","2004"
"568","George W. Bush","Cancun, Chichen-Itza","Met with President Fox and Canadian Prime Minister Harper.","March 30–31, 2006","Mexico","2006"
"569","George W. Bush","Merida, Uxmal","Met with President Calderon. Visited Mayan ruins.","March 12–14, 2007","Mexico","2007"
"570","Barack Obama","Mexico City","Met with President Calderon.","April 16–17, 2009","Mexico","2009"
"571","Barack Obama","Guadalajara","Attended the North American Leaders’ Summit.","August 9–10, 2009","Mexico","2009"
"572","Barack Obama","Cabo San Lucas","Attended the G-20 Economic Summit meeting.","June 17–19, 2012","Mexico","2012"
"573","Barack Obama","Mexico City","Met with President Enrique Pena Nieto.","May 2–3, 2013","Mexico","2013"
"574","Barack Obama","Toluca","Attended the North American Leaders Summit.","February 14, 2014","Mexico","2014"
"575","George W. Bush","Ulaanbaatar","Met with President Enkhbayar and Prime Minister Elbegdorj.","November 21, 2005","Mongolia","2005"
"576","Franklin Delano Roosevelt","Casablanca","Casablanca Conference with British Prime Minister Churchill.","January 14–25, 1943","Morocco","1943"
"577","Dwight D. Eisenhower","Casablanca","Met with King Mohammed V.","December 22, 1959","Morocco","1959"
"578","William J. Clinton","Rabat","Attended the funeral of King Hassan II; met with Palestinian Authority President Arafat and Israeli Prime Minister Barak.","July 25, 1999","Morocco","1999"
"579","George Herbert Walker Bush","The Hague, Leiden","Met with Queen Beatrix and Prime Minister Lubbers and delivered a public address.","July 17–18, 1989","Netherlands","1989"
"580","George Herbert Walker Bush","The Hague","Attended European Community Summit Meeting.","November 8–9, 1991","Netherlands","1991"
"581","William J. Clinton","The Hague, Rotterdam","Attended U.S.-EU Summit Meeting and commemorated the 50th anniversary of the Marshall Plan.","May 27–28, 1997","Netherlands","1997"
"582","George W. Bush","Maastricht, Valkenburg, Margraten","Met with Prime Minister Balkenende and gave an address at a U.S. military cemetery.","May 7–8, 2005","Netherlands","2005"
"583","Barack Obama","The Hague, Amsterdam","Attended the World Forum the Nuclear Security Summit, and a G-7 meeting on the Ukrainian crisis. Met with King Willem-Alexander and President Nursultan Nazarbayev of Kazakhstan.","March 24–25, 2014","Netherlands","2014"
"584","Lyndon B. Johnson","Wellington","State visit; met with Prime Minister Holyoake.","October 19–20, 1966","New Zealand","1966"
"585","William J. Clinton","Auckland, Queenstown, Christchurch","Attended Asia-Pacific Economic Cooperation Leaders meeting; State visit.","September 11–15, 1999","New Zealand","1999"
"586","Herbert C. Hoover","Corinto","Good will trip. [Visit made as President-elect.]","November 27, 1928","Nicaragua","1928"
"587","Lyndon B. Johnson","Managua","Informal visit; met with President Somoza.","July 8, 1968","Nicaragua","1968"
"588","William J. Clinton","Managua, Posoltega, El Porvenir","Discussed reconstruction aid with President Aleman.","March 8, 1999","Nicaragua","1999"
"589","James E. Carter","Lagos","Met with President Obasanjo; first State visit of a U.S. President to sub-Saharan Africa.","March 31–April 3, 1978","Nigeria","1978"
"590","William J. Clinton","Abuja, Ushafa","Met with President Obasanjo and addressed the National Assembly.","August 26–28, 2000","Nigeria","2000"
"591","George W. Bush","Abuja","Met with President Obasanjo.","July 11–12, 2003","Nigeria","2003"
"592","William J. Clinton","Oslo","State visit. Attended commemorative ceremony for former Israeli Prime Minister Rabin; discussed Chechnya crisis with Russian Prime Minister Putin.","November 1–2, 1999","Norway","1999"
"593","Barack Obama","Oslo","Met with King Harald V and Queen Sonja. Received the Nobel Peace Prize.","December 10–11, 2009","Norway","2009"
"594","William J. Clinton","Muscat","Met with Sultan Qaboos bin Said en route from Pakistan to Switzerland.","March 25, 2000","Oman","2000"
"595","Dwight D. Eisenhower","Karachi","Informal visit; met with President Ayub Khan.","December 7–9, 1959","Pakistan","1959"
"596","Lyndon B. Johnson","Karachi","Met with President Ayub Khan.","December 23, 1967","Pakistan","1967"
"597","Richard M. Nixon","Lahore","State visit; met with President Yahya Khan.","August 1–2, 1969","Pakistan","1969"
"598","William J. Clinton","Islamabad","Met with President Tarar and General Musharraf; delivered radio address.","March 25, 2000","Pakistan","2000"
"599","George W. Bush","Islamabad","Met with President Musharraf.","March 3–4, 2006","Pakistan","2006"
"600","William J. Clinton","Gaza, Bethlehem, Erez","Addressed Palestine National Council; attended a meeting with Prime Minister Netanyahu and Chairman Arafat at Erez.","December 14–15, 1998","palestinian-authority","1998"
"601","George W. Bush","Ramallah, Bethlehem","Met with President Abbas and visited the Church of the Nativity.","January 10, 2008","palestinian-authority","2008"
"602","Barack Obama","Ramallah, Al-Bireh, Bethlehem","Met with President Mahmoud Abbas.","March 21–22, 2013","palestinian-authority","2013"
"603","Donald J. Trump","Bethlehem","Met with President Mahmoud Abbas.","May 23, 2017","palestinian-authority","2017"
"604","Theodore Roosevelt","Colon, Panama City","To inspect construction of Panama Canal. First visit abroad by any President or President-elect. Departed the U.S. November 9; returned to U.S. November 26.","November 14–17, 1906","Panama","1906"
"605","William Howard Taft","Colon, Panama City","Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as President-elect.]","January 29–February 7, 1909","Panama","1909"
"606","Warren G. Harding","Colon, Baihos","Informal visit to Canal Zone. [Visit made as President-elect.]","November 24, 1920","Panama","1920"
"607","Franklin Delano Roosevelt","Panama City","Informal visit en route to vacation in Hawaii.","July 11–12, 1934","Panama","1934"
"608","Franklin Delano Roosevelt","Balboa","Informal visit with President Arias while returning to Washington, D.C. from West Coast.","October 16, 1935","Panama","1935"
"609","Franklin Delano Roosevelt","Balboa","Informal visit with President Arosemena during vacation in the Caribbean.","August 4–5, 1938","Panama","1938"
"610","Franklin Delano Roosevelt","Cristobal, Balboa","Met informally with President Boyd during vacation.","February 27, 1940","Panama","1940"
"611","Dwight D. Eisenhower","Panama City","Attended a meeting of the Presidents of the American Republics.","July 21–23, 1956","Panama","1956"
"612","James E. Carter","Panama City","Invited by President Lakas and General Torrijos to sign protocol confirming exchange of documents ratifying Panama Canal treaties. Also met informally with Presidents Perez of Venezuela, Lopez Michelson of Colombia, Lopez Portillo of Mexico, Carazo of Costa Rica, and Prime Minister Manley of Jamaica.","June 16–17, 1978","Panama","1978"
"613","George Herbert Walker Bush","Panama City","Met with President Endara and delivered public addresses.","June 11, 1992","Panama","1992"
"614","George W. Bush","Panama City","Met with President Martin Torrijos.","November 6–7, 2005","Panama","2005"
"615","Barack Obama","Panama City","Attended a Summit of the Americas meeting.","April 9–11, 2015","Panama","2015"
"616","Herbert C. Hoover","Lima","Good will trip. [Visit made as President-elect.]","December 5, 1928","Peru","1928"
"617","George W. Bush","Lima","Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice President of Ecuador.","March 23–24, 2002","Peru","2002"
