"","Name","Locale","Remarks","Date","Country","Year"
"2213","Hillary Rodham Clinton","Lilongwe","Met with President Joyce Banda. Visited Camp GLOW and the Lumbadze Group.","August 5–6, 2012","Malawi","2012"
"2214","David Dean Rusk","Kuala Lumpur","Accompanied President Johnson on a State visit.","October 30–31, 1966","Malaysia","1966"
"2215","Edmund Sixtus Muskie","Kuala Lumpur","Met with ASEAN Foreign Ministers.","June 27–29, 1980","Malaysia","1980"
"2216","George Pratt Shultz","Kuala Lumpur","Met with Prime Minister Mahathir and senior Malaysian officials.","July 9–10, 1984","Malaysia","1984"
"2217","George Pratt Shultz","Kuala Lumpur","Attended ASEAN Post-Ministerial consultation.","July 10–12, 1985","Malaysia","1985"
"2218","George Pratt Shultz","Kuala Lumpur","Met with Prime Minister Mahathir.","July 9, 1988","Malaysia","1988"
"2219","James Addison Baker","Kuala Lumpur","Attended meeting of ASEAN Foreign Ministers.","July 23–25, 1991","Malaysia","1991"
"2220","Warren Minor Christopher","Kuala Lumpur","Discussed the Bosnian conflict with Prime Minister Mahathir; signed commercial and educational exchange agreements.","August 3–4, 1995","Malaysia","1995"
"2221","Madeleine Korbel Albright","Kuala Lumpur","Attended ASEAN Post-Ministerial Conference and Regional Forum.","July 26–29, 1997","Malaysia","1997"
"2222","Madeleine Korbel Albright","Kuala Lumpur","Attended APEC Ministerial Meeting and met with the wife of former Deputy Prime Minister Anwar Ibrahim.","November 14–15, 1998","Malaysia","1998"
"2223","Colin Luther Powell","Kuala Lumpur","Met with Prime Minister Mahathir and Foreign Minister Albar.","July 29–30, 2002","Malaysia","2002"
"2224","Condoleezza Rice","Kuala Lumpur","Attended ASEAN Foreign Ministers and Regional Forum Meetings.","July 26–29, 2006","Malaysia","2006"
"2225","Hillary Rodham Clinton","Kuala Lumpur","Met with Foreign Minister Aman.","November 1–3, 2010","Malaysia","2010"
"2226","John Forbes Kerry","Kuala Lumpur","Attended the Fourth Global Entrepreneurship Summit.","October 10–11, 2013","Malaysia","2013"
"2227","John Forbes Kerry","Kuala Lumpur","Attended the ASEAN Regional Forum.","August 4–6, 2015","Malaysia","2015"
"2228","Rex W. Tillerson","Kuala Lumpur","Met with Deputy Prime Minister Zahid Hamidi.","August 8–9, 2017","Malaysia","2017"
"2229","Michael R. Pompeo","Kuala Lumpur","Met with senior Malaysian officials to discuss strengthening the Comprehensive Partnership and advancing common security and economic interests.","August 1–3, 2018","Malaysia","2018"
"2230","James Addison Baker","Malé","Met with President Gayoom en route to the Philippines.","July 24, 1992","Maldives","1992"
"2231","Colin Luther Powell","Malé","Met with Foreign Minister Jameel.","July 1, 2004","Maldives","2004"
"2232","Michael R. Pompeo","Malé","Met with President Solih and Foreign Minister Abdulla Shahid.","October 28, 2020","Maldives","2020"
"2233","Warren Minor Christopher","Bamako","Met with President Konare and Foreign Minister Traore.","October 7–9, 1996","Mali","1996"
"2234","Madeleine Korbel Albright","Bamako","Met with President Konare and reviewed ACRI forces.","October 18–19, 1999","Mali","1999"
"2235","Colin Luther Powell","Bamako","Met with President Konare and toured the Malaria Research and Training Center at the University of Mali.","May 23–24, 2001","Mali","2001"
"2236","James Addison Baker","Valletta, Marsaxlokk Bay","Accompanied President Bush to meetings with Soviet President Gorbachev.","December 1–3, 1989","Malta","1989"
"2237","Hillary Rodham Clinton","Valletta","Met with Prime Minister Gonzi.","October 18–19, 2011","Malta","2011"
"2238","George Pratt Shultz","Majuro","Attended a commemorative ceremony.","July 20, 1988","Marshall Islands","1988"
"2239","Madeleine Korbel Albright","Port Louis","Met with Prime Minister Jugnauth.","December 9–10, 2000","Mauritius","2000"
"2240","Elihu Root","Mexico, D.F., Cuernavaca, Puebla, Orizaba, Guadalajara, Potosi","Met with President Diaz, Foreign Minister Mariscal, and Governors of several Mexican States. Delivered several public addresses Left Washington September 26.","September 29–October 16, 1907","Mexico","1907"
"2241","Edward Reilly Stettinius","Chapultepec","Attended Inter-American Conference on the Problems of War and Peace.","February 20–March 8, 1945","Mexico","1945"
"2242","John Foster Dulles","Mexico, D.F.","Attended the inauguration of President Lopez Mateos.","November 30–December 2, 1958","Mexico","1958"
"2243","Christian Archibald Herter","Mexico, D.F.","Attended ceremonies for the 150th anniversary of Mexican independence.","September 15–16, 1960","Mexico","1960"
"2244","David Dean Rusk","Mexico, D.F.","Accompanied President Johnson on an informal visit. Dedicated a statue of President Lincoln.","April 15–16, 1966","Mexico","1966"
"2245","David Dean Rusk","Mexico, D.F.","Attended the inauguration of a new Foreign Office building.","September 30–October 1, 1966","Mexico","1966"
"2246","David Dean Rusk","Ciudad Acuna","Accompanied President Johnson on a visit to the Amistad Dam.","December 3, 1966","Mexico","1966"
"2247","William Pierce Rogers","Ciudad Acuna","Accompanied President Nixon to the dedication of the Amistad Dam.","September 8, 1969","Mexico","1969"
"2248","William Pierce Rogers","Puerto Vallarta","Accompanied President Nixon during an official visit.","August 20–21, 1970","Mexico","1970"
"2249","William Pierce Rogers","Mexico, D.F.","Attended the inauguration of President Echeverria.","November 29–December 1, 1970","Mexico","1970"
"2250","William Pierce Rogers","Cozumel","Vacation.","April 16–18, 1971","Mexico","1971"
"2251","William Pierce Rogers","Mexico, D.F.","Met with President Echeverria and senior Mexican officials.","May 12–14, 1973","Mexico","1973"
"2252","Henry A. (Heinz Alfred) Kissinger","Mexico, D.F.","Attended the Tlatelolco Conference of Latin American Foreign Ministers.","February 20–24, 1974","Mexico","1974"
"2253","Henry A. (Heinz Alfred) Kissinger","Acapulco, Mexico, D.F.","Honeymoon. Also met with senior Mexican officials.","March 30–April 9, 1974","Mexico","1974"
"2254","Henry A. (Heinz Alfred) Kissinger","Nogales, Magdalena de Kino","Accompanied President Ford to a meeting with President Echeverria.","October 21, 1974","Mexico","1974"
"2255","Henry A. (Heinz Alfred) Kissinger","Mexico, D.F.","Met with President Echeverria and senior Mexican officials.","June 10–13, 1976","Mexico","1976"
"2256","Henry A. (Heinz Alfred) Kissinger","Mexico, D.F.","Attended the inauguration of President Lopez Portillo.","November 29–December 2, 1976","Mexico","1976"
"2257","Cyrus Roberts Vance","Mexico, D.F., Puerto Vallarta","Official visit. Met with President Lopez Portillo and Foreign Relations Secretary Roel.","May 3–5, 1978","Mexico","1978"
"2258","Cyrus Roberts Vance","Mexico, D.F.","Accompanied President Carter on a State visit.","February 14–16, 1979","Mexico","1979"
"2259","Edmund Sixtus Muskie","Mexico, D.F.","Official visit. Reviewed work of U.S.-Mexico Consultative Mechanism.","November 29–December 1, 1980","Mexico","1980"
"2260","Alexander Meigs Haig","Cancun","Attended a Foreign Ministers meeting preliminary to Conference on Cooperation and Development.","July 31–August 2, 1981","Mexico","1981"
"2261","Alexander Meigs Haig","Cancun","Accompanied President Reagan to the International Meeting on Cooperation and Development.","October 21–24, 1981","Mexico","1981"
"2262","Alexander Meigs Haig","Mexico, D.F.","Deposited the instrument of ratification of the Treaty for the Prohibition of Nuclear Weapons in Latin America.","November 23–24, 1981","Mexico","1981"
"2263","George Pratt Shultz","Tijuana","Accompanied President Reagan to a meeting with President-elect De la Madrid.","October 9, 1982","Mexico","1982"
"2264","George Pratt Shultz","Mexico, D.F.","Attended the 3rd meeting of U.S.-Mexico Binational Commission.","April 18–19, 1983","Mexico","1983"
"2265","George Pratt Shultz","La Paz (Baja California)","Accompanied President Reagan to a meeting with President de la Madrid.","August 14, 1983","Mexico","1983"
"2266","George Pratt Shultz","Mexico, D.F.","Met with President De la Madrid and senior Mexican officials.","October 11–12, 1984","Mexico","1984"
"2267","George Pratt Shultz","Mexico, D.F.","Attended a meeting of U.S.-Mexico Binational Commission.","July 25–26, 1985","Mexico","1985"
"2268","George Pratt Shultz","Mexicali","Accompanied President Reagan to a meeting with President de la Madrid.","January 3, 1986","Mexico","1986"
"2269","George Pratt Shultz","Mazatlan","Accompanied President Reagan to a meeting with President de la Madrid.","February 13, 1988","Mexico","1988"
"2270","George Pratt Shultz","Mexico, D.F.","Attended the inauguration of President Salinas de Gortari.","December 1, 1988","Mexico","1988"
"2271","James Addison Baker","Mexico, D.F.","Attended the 7th meeting of the U.S.-Mexico Binati.","August 6–7, 1989","Mexico","1989"
"2272","James Addison Baker","Mexico, D.F.","Attended meeting of the U.S.-Mexico Binational Commission.","September 8–9, 1991","Mexico","1991"
"2273","James Addison Baker","Mexico, D.F.","Attended the signing of the Salvadoran Peace Treaty.","January 16, 1992","Mexico","1992"
"2274","Warren Minor Christopher","Mexico City","Attended meeting of the U.S.-Mexico Binational Commission.","May 8–9, 1994","Mexico","1994"
"2275","Warren Minor Christopher","Mexico, D.F.","Attended meeting of the U.S.-Mexico Binational Commission.","May 6–7, 1996","Mexico","1996"
"2276","Madeleine Korbel Albright","Mexico, D.F.","Accompanied President Clinton on a State Visit and attended a meeting of the U.S.-Mexico Binational Commission.","May 5–7, 1997","Mexico","1997"
"2277","Madeleine Korbel Albright","Merida","Accompanied President Clinton during a State Visit.","February 15, 1999","Mexico","1999"
"2278","Madeleine Korbel Albright","Oaxaca","Met with Foreign Minister Green.","January 15–16, 2000","Mexico","2000"
"2279","Madeleine Korbel Albright","Mexico, D.F.","Led the U.S. delegation to the inauguration of President Fox.","November 30–December 2, 2000","Mexico","2000"
"2280","Colin Luther Powell","San Cristobal","Accompanied President Bush to a meeting with President Fox.","February 16, 2001","Mexico","2001"
"2281","Colin Luther Powell","Monterrey","Accompanied President Bush to the UN Conference on International Development.","March 21–22, 2002","Mexico","2002"
"2282","Colin Luther Powell","Los Cabos","Attended APEC Ministerial and Summit Meetings.","October 23–26, 2002","Mexico","2002"
"2283","Colin Luther Powell","Mexico, D.F.","Attended a meeting of the U.S.-Mexico Binational Commission.","November 25–26, 2002","Mexico","2002"
"2284","Colin Luther Powell","Monterrey","Accompanied President Bush to the Special Summit of the Americas.","January 12–13, 2004","Mexico","2004"
"2285","Colin Luther Powell","Mexico City","Attended U.S.-Mexico Binational Commission meeting.","November 8–9, 2004","Mexico","2004"
"2286","Condoleezza Rice","Mexico City","Met with senior Mexican officials.","March 10, 2005","Mexico","2005"
"2287","Condoleezza Rice","Merida","Accompanied President Bush.","March 12–13, 2007","Mexico","2007"
"2288","Condoleezza Rice","Puerto Vallarta","Met with Foreign Secretary Espinosa.","October 22–23, 2008","Mexico","2008"
"2289","Hillary Rodham Clinton","Mexico City, Monterrey","Met with Foreign Secretary Espinosa and discussed the Merida Initiative.","March 25–26, 2009","Mexico","2009"
"2290","Hillary Rodham Clinton","Mexico City","Attended a U.S.-Mexico High Level Consultative Group meeting and met with President Calderon and Foreign Secretary Espinosa.","March 23, 2010","Mexico","2010"
"2291","Hillary Rodham Clinton","Guanajuato","Met with Foreign Secretary Espinosa.","January 24, 2011","Mexico","2011"
"2292","Hillary Rodham Clinton","Los Cabos","Attended a G-20 Ministerial Meeting. Signed U.S.-Mexico Transboundary Agreement.","February 19–20, 2012","Mexico","2012"
"2293","Hillary Rodham Clinton","Los Cabos","Attended the G-20 Meeting.","June 18–19, 2012","Mexico","2012"
"2294","John Forbes Kerry","Mexico City","Met with President Enrico Pena Nieto and Foreign Secretary Jose Antonio Meade. Attended a Joint Bilateral Forum on Higher Education, Innovation, and Research; a CleanTech Challenge Launch event, and a U.S.-Mexico CEO Dialogue dinner.","May 21–22, 2014","Mexico","2014"
"2295","Rex W. Tillerson","Mexico City","Discussed bilateral relations with President Enrique Pena Nieto and Foreign Minister Luis Videgaray. Was joined by Secretary of Homeland Security John Kelly.","February 22–23, 2017","Mexico","2017"
"2296","Rex W. Tillerson","Mexico City","Met with President Enrique Peña Nieto and Foreign Secretary Luis Videgaray.","February 1–2, 2018","Mexico","2018"
"2297","Michael R. Pompeo","Mexico City","Met with President Enrique Peña Nieto, Foreign Secretary Luis Videgaray Caso, and President-elect Andres Manuel Lopez Obrador.","July 13, 2018","Mexico","2018"
"2298","Michael R. Pompeo","Mexico City","Met with President Enrique Peña Nieto, Foreign Secretary Luis Videgaray Caso, and Foreign Secretary-designate Marcelo Luis Ebrard Casaubon.","October 19, 2018","Mexico","2018"
"2299","Michael R. Pompeo","Mexico City","Met with Foreign Secretary Marcelo Ebrard.","July 21, 2019","Mexico","2019"
"2300","Michael R. Pompeo","Pohnpei","Met with the leaders of the Federated States of Micronesia, the Republic of the Marshall Islands, and the Republic of Palau in the first-ever visit by a Secretary of State to the Federated States of Micronesia.","August 5, 2019","micronesia","2019"
"2301","James Addison Baker","Kishenev","Met with President Snegur.","February 11, 1992","Moldova","1992"
"2302","John Forbes Kerry","Chisinau","Met with President Nicolae Timofti and Prime Minister Iurie Leanca. Attended a Trade and Investment Showcast.","December 4, 2013","Moldova","2013"
"2303","James Addison Baker","Ulaanbaatar","Met with President Ochirbat and Foreign Minister Gombosuren.","August 2–3, 1990","Mongolia","1990"
"2304","James Addison Baker","Ulaanbaatar","Met with senior Mongolian officials, addressed the Mongolian Parliament, and observed wildlife in the Gobi Desert.","July 25–29, 1991","Mongolia","1991"
"2305","Madeleine Korbel Albright","Ulaanbaatar","Met with President Bagabandi and senior Mongolian officials and addressed the Great Hural.","May 2, 1998","Mongolia","1998"
"2306","Condoleezza Rice","Ulaanbaatar","Accompanied President Bush.","November 21, 2005","Mongolia","2005"
"2307","Hillary Rodham Clinton","Ulaanbaatar","Met with President Tsakhiagiin Elbegdorj and Prime Minister Sukhbaatar Batbold. Addressed the International Women’s Leadership Forum, the Leaders Engaged in New Democracies Network, and the Community of Democracies Governing Council.","July 9, 2012","Mongolia","2012"
"2308","John Forbes Kerry","Ulaanbaatar","Met with Foreign Minister Lundeg Purevsuren.","June 5, 2016","Mongolia","2016"
"2309","Michael R. Pompeo","Podgorica","Met with President Milo Djukanovic, Prime Minister Dusko Markovic, and Foreign Minister Srdjan Darmanovic.","October 4, 2019","Montenegro","2019"
"2310","Cordell Hull","Casablanca","Disembarked en route to Moscow Conference. Left U.S. October 7.","October 15, 1943","Morocco","1943"
"2311","Edward Reilly Stettinius","Marrakesh","Preparations for the Malta and Yalta Conferences. Left U.S. January 25.","January 26–30, 1945","Morocco","1945"
"2312","John Foster Dulles","Marrakesh","Met with King Mohammed V, Foreign Minister Balafrej, and senior Moroccan officials.","January 23, 1958","Morocco","1958"
"2313","William Pierce Rogers","Rabat","Met with King Hassan II and senior Moroccan officials. Signed an air transport agreement.","February 7–9, 1970","Morocco","1970"
"2314","Henry A. (Heinz Alfred) Kissinger","Rabat","Met with King Hassan II and senior Moroccan officials.","November 5–6, 1973","Morocco","1973"
"2315","Henry A. (Heinz Alfred) Kissinger","Rabat","Reviewed bilateral relations and the Middle East peace process with King Hassan II.","October 15, 1974","Morocco","1974"
"2316","Alexander Meigs Haig","Marrakesh","Met with King Hassan II and senior Moroccan officials.","February 11–12, 1982","Morocco","1982"
"2317","George Pratt Shultz","Rabat","Met with King Hassan II.","December 10–12, 1983","Morocco","1983"
"2318","James Addison Baker","Rabat","Discussed a Middle East peace conference with King Hassan II and Foreign Minister Filali.","August 3–4, 1991","Morocco","1991"
"2319","Warren Minor Christopher","Rabat","Discussed the Middle East peace process with King Hassan II.","December 10, 1993","Morocco","1993"
"2320","Warren Minor Christopher","Casablanca","Attended Middle East and North Africa Economic Summit Conference.","October 30–November 1, 1994","Morocco","1994"
"2321","Madeleine Korbel Albright","Rabat","Met with King Mohammed VI and Prime Minister Youssoufi.","September 1–2, 1999","Morocco","1999"
"2322","Colin Luther Powell","Casablanca","Met with senior Moroccan and Saudi officials.","April 8–9, 2002","Morocco","2002"
"2323","Colin Luther Powell","Marrakesh","Met with King Mohamed VI and Foreign Minister Benaissa.","December 2–3, 2003","Morocco","2003"
"2324","Colin Luther Powell","Rabat","Attended Forum for the Future meeting.","December 10–11, 2004","Morocco","2004"
"2325","Condoleezza Rice","Rabat","Met with Foreign Minister Fihri and other senior officials.","September 6–7, 2008","Morocco","2008"
"2326","Hillary Rodham Clinton","Marrakesh","Met with King Mohammed VI and Foreign Minister Fassi-Fihri and with the GCC+3 Foreign Ministers. Attended the 6th Forum for the Future.","November 2–3, 2009","Morocco","2009"
"2327","Hillary Rodham Clinton","Rabat","Met with Royal Counselor Fahri Fihri and Foreign Minister Saad Eddine al-Othmani. Hosted the ground-breaking ceremony for a new Embassy.","February 26, 2012","Morocco","2012"
"2328","John Forbes Kerry","Rabat","Co-chaired the U.S.-Morocco Strategic Dialogue.","April 3–4, 2014","Morocco","2014"
"2329","John Forbes Kerry","Marrakesh","Attended and addressed the 22nd Conference of the Parties to the UN Framework Convention on Climate Change.","November 15–16, 2016","Morocco","2016"
"2330","Michael R. Pompeo","Rabat","Met with senior government officials.","December 5, 2019","Morocco","2019"
"2331","James Addison Baker","Windhoek","Attended Namibian independence ceremonies. Met with Soviet Foreign Minister Shevardnadze.","March 19–22, 1990","Namibia","1990"
"2332","Colin Luther Powell","Kathmandu","Met with Prime Minister Deuba and senior officials.","January 18, 2002","Nepal","2002"
"2333","Henry Lewis Stimson","The Hague","Met with Dutch officials.","July 27, 1931","Netherlands","1931"
"2334","John Foster Dulles","Amsterdam","Met with Queen Juliana and Foreign Minister Beyen.","February 6, 1953","Netherlands","1953"
"2335","David Dean Rusk","The Hague","Attended NATO Ministerial Meeting.","May 10–14, 1964","Netherlands","1964"
"2336","Henry A. (Heinz Alfred) Kissinger","The Hague","Met with Foreign Minister van der Stoel.","August 11, 1976","Netherlands","1976"
"2337","Cyrus Roberts Vance","The Hague","Attended NATO Ministerial Meeting.","May 29–31, 1979","Netherlands","1979"
"2338","George Pratt Shultz","The Hague","Met with Queen Beatrix and senior Dutch officials.","December 11, 1982","Netherlands","1982"
"2339","James Addison Baker","The Hague","Met with Foreign Minister van den Broek.","February 16, 1989","Netherlands","1989"
"2340","James Addison Baker","The Hague","Accompanied President Bush.","July 17–18, 1989","Netherlands","1989"
"2341","James Addison Baker","The Hague","Accompanied President Bush to an European Community Summit Meeting.","November 8–9, 1991","Netherlands","1991"
"2342","Warren Minor Christopher","The Hague, Noordwijk","Attended a meeting of the Contact Group Foreign Ministers and NATO and NACC Ministerial Meetings.","May 29–June 1, 1995","Netherlands","1995"
"2343","Warren Minor Christopher","The Hague","Met with Foreign Minister Van Mierlo and Chinese Foreign Minister Qian.","April 18–20, 1996","Netherlands","1996"
"2344","Madeleine Korbel Albright","The Hague","Accompanied President Clinton to the U.S.-EU Summit Meeting, commemorated the 50th anniversary of the Marshall Plan, and visited the UN War Crimes Tribunal.","May 27–28, 1997","Netherlands","1997"
"2345","Madeleine Korbel Albright","Curacao (Antilles)","Stopped en route to Washington.","August 19, 2000","Netherlands","2000"
"2346","Colin Luther Powell","Maastricht","Attended an OSCE Meeting.","December 2, 2003","Netherlands","2003"
"2347","Colin Luther Powell","The Hague","Attended US-EU Ministerial meeting.","December 10, 2004","Netherlands","2004"
"2348","Condoleezza Rice","Maastricht, Margraten","Accompanied President Bush.","May 7–8, 2005","Netherlands","2005"
"2349","Hillary Rodham Clinton","The Hague","Attended the International Conference of Afghanistan.","March 31–April 1, 2009","Netherlands","2009"
"2350","Hillary Rodham Clinton","The Hague","Met with Foreign Minister Rosenthal and addressed the Conference on Internet Freedom.","December 8, 2011","Netherlands","2011"
"2351","John Forbes Kerry","The Hague","Accompanied President Obama to a G-7 Leaders’ Meeting on the Ukrainian crisis.","March 24–25, 2014","Netherlands","2014"
"2352","Michael R. Pompeo","The Hague","Participated in the opening of the Global Entrepreneurship Summit with Prime Minister Mark Rutte and met with Foreign Minister Stef Blok.","June 3, 2019","Netherlands","2019"
"2353","William Pierce Rogers","Aruba","Stopped while returning to U.S.","February 22–23, 1970","netherlands-antilles","1970"
"2354","William Pierce Rogers","Curacao","Stopped en route to Jamaica.","May 27, 1973","netherlands-antilles","1973"
"2355","James Addison Baker","St. Maartin","Accompanied President Bush en route to meeting with French President Mitterrand.","December 16, 1989","netherlands-antilles","1989"
"2356","David Dean Rusk","Wellington","Met with senior New Zealand officials.","May 10–11, 1962","New Zealand","1962"
"2357","David Dean Rusk","Wellington","Attended SEATO, ANZUS, and Seven-Nation Meetings.","March 30–April 5, 1968","New Zealand","1968"
"2358","William Pierce Rogers","Auckland","Met with Prime Minister Holyoake.","August 9–10, 1969","New Zealand","1969"
"2359","Alexander Meigs Haig","Wellington","Attended ANZUS Council Meeting.","June 21–23, 1981","New Zealand","1981"
"2360","George Pratt Shultz","Wellington","Attended ANZUS Council Meeting.","July 15–17, 1984","New Zealand","1984"
"2361","Madeleine Korbel Albright","Auckland","Met with Prime Minister Shipley.","August 1, 1998","New Zealand","1998"
"2362","Madeleine Korbel Albright","Auckland","Attended APEC Ministerial and Leaders meetings.","September 8–13, 1999","New Zealand","1999"
"2363","Condoleezza Rice","Auckland","Met with Prime Minister Clark, Foreign Minister Peters, and Opposition Leader Keys.","July 25–27, 2008","New Zealand","2008"
"2364","Hillary Rodham Clinton","Wellington, Christchurch","Met with Prime Minister Key and Foreign Minister McCully. Visited the U.S. Antarctic Center.","November 3–5, 2010","New Zealand","2010"
"2365","John Forbes Kerry","Wellington","Met with Prime Minister John Key and Foreign Minister Murray McCully. Dedicated the site of the United States Memorial.","November 12–13, 2016","New Zealand","2016"
"2366","Rex W. Tillerson","Wellington","Met with Prime Minister Bill English and Foreign Minister Gerry Brownlee.","June 6–7, 2017","New Zealand","2017"
"2367","Philander Chase Knox","Corinto, Managua","Met with President Diaz and Foreign Minister Chamorro; addressed the National Assembly.","March 5–7, 1912","Nicaragua","1912"
"2368","William Pierce Rogers","Managua","Met with President Somoza and senior Nicaraguan officials.","May 14, 1973","Nicaragua","1973"
"2369","George Pratt Shultz","Managua","Met with Comandante Ortega.","June 1, 1984","Nicaragua","1984"
"2370","James Addison Baker","Managua","Met with President Chamorro.","January 17, 1992","Nicaragua","1992"
"2371","Colin Luther Powell","Managua","Met with President Bolanos.","November 3–4, 2003","Nicaragua","2003"
"2372","William Pierce Rogers","Lagos","Met with General Gowon and senior Nigerian officials.","February 19–20, 1970","Nigeria","1970"
"2373","Cyrus Roberts Vance","Lagos","Accompanied President Carter on a State visit.","March 31–April 3, 1978","Nigeria","1978"
"2374","George Pratt Shultz","Lagos","Met with President Babangida.","January 12, 1987","Nigeria","1987"
"2375","Madeleine Korbel Albright","Abuja, Kano","Met with President Obasanjo, senior Nigerian officials, representatives of ECOWAS, and officials and political leaders of northern Nigeria.","October 19–20, 1999","Nigeria","1999"
"2376","Colin Luther Powell","Abuja","Accompanied President Bush.","July 11–12, 2003","Nigeria","2003"
"2377","Hillary Rodham Clinton","Abuja","Met with Foreign Minister Maduekwe.","August 11–13, 2009","Nigeria","2009"
"2378","Hillary Rodham Clinton","Abuja","Met with President Goodluck Jonathan, the Nigerian National Security Council, and Anti-Corruption Leaders.","August 9, 2012","Nigeria","2012"
"2379","John Forbes Kerry","Lagos","Met with President Goodluck Jonathan and presidential candidate Muhammedu Buhari.","January 24–25, 2015","Nigeria","2015"
"2380","John Forbes Kerry","Abuja","Attended the inauguration of President Muhammedu Buhari.","May 29, 2015","Nigeria","2015"
"2381","John Forbes Kerry","Sokoto, Abuja","Met with local civic and religious leaders in Sokoto, and with President Muhammedu Buhari, Foreign Minister Geoffrey Onyeama, and northern governors.","August 23–24, 2016","Nigeria","2016"
"2382","Rex W. Tillerson","Abuja","Met with Nigerian President Muhammadu Buhari and Foreign Minister Geoffrey Onyeama.","March 12, 2018","Nigeria","2018"
"2383","David Dean Rusk","Oslo","Attended NATO Ministerial Meeting.","May 6–10, 1961","Norway","1961"
"2384","David Dean Rusk","Bodo, Oslo","Met with Prime Minister Borten.","June 1–3, 1966","Norway","1966"
"2385","Henry A. (Heinz Alfred) Kissinger","Oslo","Attended NATO Ministerial Meeting.","May 20–22, 1976","Norway","1976"
"2386","George Pratt Shultz","Oslo","Met with King Olav V and Foreign Minister Stray.","January 19, 1984","Norway","1984"
"2387","George Pratt Shultz","Oslo","Met with King Olav V and senior Norwegian officials.","December 13–15, 1987","Norway","1987"
"2388","James Addison Baker","Oslo","Met with Prime Minister Brundtland and Foreign Minister Stoltenberg.","February 13, 1989","Norway","1989"
"2389","Warren Minor Christopher","Oslo","Attended the funeral of Norwegian Foreign Minister Holst. Met with Israeli Foreign Minister Peres and PLO Chairman Arafat.","January 21–23, 1994","Norway","1994"
"2390","Madeleine Korbel Albright","Oslo","Met with Russian Foreign Minister Ivanov.","April 13, 1999","Norway","1999"
"2391","Madeleine Korbel Albright","Oslo","Accompanied President Clinton on a State visit to commemorative ceremony for former Israeli Prime Minister Rabin.","November 1–2, 1999","Norway","1999"
"2392","Condoleezza Rice","Oslo","Attended NATO Foreign Ministers’ and NATO-Russia Council Meetings.","April 25–26, 2007","Norway","2007"
"2393","Hillary Rodham Clinton","Oslo, Tromso","Met with King Harald V, Prime Minister Jens Stoltenberg, and Foreign Minister Jonas Stoere. Addressed a global health conference. Took part in a meeting on the High North at Tromso.","May 31–June 3, 2012","Norway","2012"
"2394","John Forbes Kerry","Oslo, Svalbard","Attended the Oslo Forum. Visited Arctic researchers in Svalbard.","June 14–16, 2016","Norway","2016"
"2395","James Addison Baker","Muscat","Stopped while traveling to Poland to join President Bush.","July 8, 1989","Oman","1989"
"2396","Madeleine Korbel Albright","Muscat","Accompanied President Clinton.","March 25, 2000","Oman","2000"
"2397","Colin Luther Powell","Muscat","Met with Foreign Minister bin Abdallah.","January 3, 2005","Oman","2005"
"2398","Hillary Rodham Clinton","Muscat","Addressed a Town Meeting with Omani Civil Society.","January 12, 2011","Oman","2011"
"2399","Hillary Rodham Clinton","Muscat","Met with Sultan Qaboos.","October 19–20, 2011","Oman","2011"
"2400","John Forbes Kerry","Muscat","Met with Sultan Qaboos bin Said al Said and Defense Minister Said Badr al-Busaidi.","May 21–22, 2013","Oman","2013"
"2401","John Forbes Kerry","Muscat","Attended a trilateral meeting with EU High Representative Lady Catherine Ashton and Iranian Foreign Minister Mohammad Javad Zarif.","November 9–11, 2014","Oman","2014"
"2402","John Forbes Kerry","Muscat","Discussed the Yemen conflict with Sultan Qaboos and Foreign Minister Yusuf bin Alawi.","November 14, 2016","Oman","2016"
"2403","Michael R. Pompeo","Muscat","Met with Sultan Haitham bin Tarik and expressed his condolences on the death of Oman’s Sultan Qaboos bin Said.","February 21, 2020","Oman","2020"
"2404","Michael R. Pompeo","Muscat","Met with Sultan Haitham bin Tarik Al Said.","August 27, 2020","Oman","2020"
"2405","John Foster Dulles","Karachi","Met with Prime Minister Ali and senior Pakistani officials.","May 22–25, 1953","Pakistan","1953"
"2406","John Foster Dulles","Karachi","Attended Second SEATO Council Meeting.","March 5–9, 1956","Pakistan","1956"
"2407","David Dean Rusk","Karachi","Attended CENTO Ministerial Meeting.","April 29–May 2, 1963","Pakistan","1963"
"2408","William Pierce Rogers","Lahore","Met with President Yahya and senior Pakistani officials.","May 24–25, 1969","Pakistan","1969"
"2409","Henry A. (Heinz Alfred) Kissinger","Islamabad","Met with Prime Minister Bhutto and senior Pakistani officials.","November 10, 1973","Pakistan","1973"
"2410","Henry A. (Heinz Alfred) Kissinger","Rawalpindi","Met with Prime Minister Bhutto.","October 31–November 1, 1974","Pakistan","1974"
"2411","Henry A. (Heinz Alfred) Kissinger","Lahore","Met with Prime Minister Bhutto.","August 8–9, 1976","Pakistan","1976"
"2412","George Pratt Shultz","Islamabad, Peshawar","Met with President Zia and Foreign Minister Yaqub Khan. Visited an Afghan refugee camp.","July 2–4, 1983","Pakistan","1983"
"2413","George Pratt Shultz","Islamabad","Attended the funeral of President Zia.","August 19–20, 1988","Pakistan","1988"
"2414","Madeleine Korbel Albright","Islamabad, Peshawar","Met with Prime Minister Sharif and visited an Afghan refugee camp.","November 17–18, 1997","Pakistan","1997"
"2415","Madeleine Korbel Albright","Islamabad","Accompanied President Clinton to meetings with President Musharraf and senior officials.","March 25, 2000","Pakistan","2000"
